ID_Lead,Taille_Entreprise,Poste_Contact,Secteur,Source_Lead,Temps_Sur_Site_Sec,Pages_Vues,Emails_Ouverts,Derniere_Activite_Jours,Converti
LD-00073,51-200,Directeur,Tech,Cold Call,178,3,0,26,0
LD-00074,51-200,Directeur,Retail,Cold Call,90,1,6,47,0
LD-00075,51-200,Directeur,Industrie,Linkedin,52,3,6,30,1
LD-00076,51-200,Operationnel,Tech,Webinar,724,2,2,56,1
LD-00077,1-10,Operationnel,Industrie,Cold Call,733,0,6,42,1
LD-00078,11-50,VP/C-Level,Education,Emailing,466,3,2,4,1
LD-00079,1-10,Manager,Sante,Emailing,277,4,1,11,0
LD-00080,51-200,Stagiaire,Sante,Site Web,70,1,9,24,0
LD-00081,11-50,Stagiaire,Sante,Cold Call,305,2,3,86,0
LD-00082,11-50,Operationnel,Industrie,Linkedin,94,5,9,67,1
LD-00083,1-10,Directeur,Industrie,Webinar,71,0,2,37,0
LD-00084,11-50,Manager,Retail,Linkedin,245,1,6,2,1
LD-00085,11-50,Operationnel,Sante,Emailing,14,2,0,12,0
LD-00086,51-200,Operationnel,Retail,Linkedin,8,2,5,21,0
LD-00087,11-50,Manager,Sante,Emailing,106,2,1,69,0
LD-00088,51-200,Directeur,Retail,Emailing,106,4,7,71,0
LD-00089,11-50,Operationnel,Retail,Emailing,406,3,4,64,0
LD-00090,1-10,Manager,Education,Emailing,24,3,2,68,0
LD-00091,51-200,VP/C-Level,Retail,Emailing,23,2,9,43,0
LD-00092,51-200,Operationnel,Industrie,Site Web,28,3,6,54,0
LD-00093,11-50,Manager,Retail,Linkedin,5,1,1,62,0
LD-00094,51-200,Operationnel,Sante,Site Web,13,2,4,86,0
LD-00095,11-50,Manager,Retail,Site Web,194,0,7,73,0
LD-00096,11-50,Manager,Tech,Cold Call,101,4,0,12,0
LD-00097,11-50,Manager,Sante,Cold Call,259,4,0,1,0
LD-00098,1-10,Manager,Tech,Cold Call,883,6,2,72,1
LD-00099,1-10,Operationnel,Sante,Webinar,193,3,2,33,0
LD-00100,1-10,Directeur,Industrie,Cold Call,9,4,6,64,0
LD-00101,11-50,Manager,Industrie,Linkedin,19,1,5,68,0
LD-00102,11-50,Operationnel,Industrie,Site Web,383,3,6,14,1
LD-00103,11-50,Manager,Tech,Linkedin,134,1,3,14,0
LD-00104,200+,Manager,Education,Cold Call,313,3,1,9,0
LD-00105,1-10,Operationnel,Sante,Webinar,349,2,1,73,0
LD-00106,11-50,Directeur,Industrie,Webinar,472,5,9,26,1
LD-00107,51-200,Directeur,Sante,Site Web,538,4,0,49,1
LD-00108,1-10,Operationnel,Tech,Linkedin,145,1,8,17,1
LD-00109,1-10,VP/C-Level,Education,Emailing,75,4,6,68,0
LD-00110,1-10,Operationnel,Tech,Linkedin,587,2,9,60,1
LD-00111,1-10,Operationnel,Sante,Cold Call,142,1,2,3,0
LD-00112,200+,Operationnel,Education,Emailing,11,6,1,25,0
LD-00113,51-200,Directeur,Education,Webinar,185,1,2,21,1
LD-00114,11-50,Manager,Tech,Site Web,159,4,6,12,1
LD-00115,51-200,Operationnel,Industrie,Site Web,407,4,4,54,0
LD-00116,51-200,Operationnel,Sante,Webinar,190,6,2,1,0
LD-00117,1-10,Manager,Retail,Cold Call,77,6,8,1,0
LD-00118,51-200,Stagiaire,Retail,Webinar,609,1,1,45,0
LD-00119,11-50,Directeur,Tech,Cold Call,291,4,6,46,0
LD-00120,51-200,Directeur,Sante,Emailing,179,6,9,48,0
LD-00121,51-200,Manager,Sante,Webinar,62,6,5,7,1
LD-00122,11-50,VP/C-Level,Tech,Cold Call,84,2,5,10,0
LD-00123,1-10,Operationnel,Sante,Emailing,199,4,6,15,0
LD-00124,1-10,VP/C-Level,Industrie,Webinar,13,4,5,40,0
LD-00125,11-50,Manager,Tech,Site Web,53,3,1,11,0
LD-00126,51-200,Manager,Industrie,Webinar,225,2,4,56,0
LD-00127,51-200,Operationnel,Sante,Linkedin,117,0,2,46,0
LD-00128,1-10,Directeur,Tech,Webinar,92,3,8,45,0
LD-00129,11-50,Operationnel,Sante,Linkedin,29,0,7,87,0
LD-00130,11-50,Operationnel,Tech,Emailing,104,1,9,13,1
LD-00131,1-10,Stagiaire,Sante,Webinar,265,3,1,27,0
LD-00132,1-10,Manager,Industrie,Emailing,55,3,0,81,0
LD-00133,11-50,Manager,Industrie,Emailing,0,1,3,50,0
LD-00134,200+,Manager,Sante,Cold Call,198,8,3,61,0
LD-00135,11-50,Directeur,Tech,Emailing,647,3,9,13,1
LD-00136,11-50,Stagiaire,Retail,Emailing,168,1,1,12,0
LD-00137,51-200,Manager,Industrie,Webinar,22,2,6,29,0
LD-00138,11-50,Operationnel,Industrie,Webinar,69,3,2,85,0
LD-00139,200+,Directeur,Retail,Site Web,364,1,6,84,1
LD-00140,200+,Directeur,Sante,Cold Call,47,3,6,20,0
LD-00141,1-10,Manager,Tech,Emailing,168,3,0,31,0
LD-00142,11-50,Manager,Sante,Cold Call,92,5,5,8,0
LD-00143,11-50,Operationnel,Education,Linkedin,41,5,3,24,0
LD-00144,1-10,Operationnel,Industrie,Emailing,302,6,7,75,0
LD-00145,1-10,Directeur,Education,Cold Call,244,4,7,39,0
LD-00146,11-50,Operationnel,Industrie,Site Web,195,1,2,33,0
LD-00147,11-50,Operationnel,Industrie,Site Web,48,1,3,42,0
LD-00148,1-10,Operationnel,Education,Emailing,18,5,0,15,0
LD-00149,1-10,Directeur,Education,Linkedin,154,4,9,68,1
LD-00150,200+,Operationnel,Sante,Site Web,145,3,1,65,0
LD-00151,1-10,Operationnel,Education,Site Web,37,1,6,32,0
LD-00152,1-10,Manager,Sante,Linkedin,10,1,6,11,0
LD-00153,11-50,Directeur,Sante,Cold Call,15,1,8,37,0
LD-00154,200+,Operationnel,Sante,Site Web,887,1,9,19,1
LD-00155,1-10,Operationnel,Industrie,Webinar,275,2,8,51,0
LD-00156,11-50,Operationnel,Industrie,Site Web,459,0,8,34,1
LD-00157,51-200,Operationnel,Education,Cold Call,39,0,5,71,0
LD-00158,1-10,Operationnel,Industrie,Cold Call,581,2,7,60,0
LD-00159,51-200,Manager,Education,Emailing,27,0,8,84,0
LD-00160,11-50,Manager,Industrie,Webinar,128,5,6,53,0
LD-00161,11-50,Manager,Tech,Cold Call,318,4,3,12,1
LD-00162,11-50,Operationnel,Tech,Linkedin,77,2,3,62,0
LD-00163,11-50,Directeur,Education,Webinar,99,1,5,66,0
LD-00164,1-10,Operationnel,Industrie,Webinar,24,2,3,86,0
LD-00165,51-200,VP/C-Level,Industrie,Linkedin,23,1,6,48,0
LD-00166,11-50,Manager,Sante,Site Web,173,2,7,40,0
LD-00167,1-10,Operationnel,Retail,Linkedin,202,5,7,24,1
LD-00168,1-10,Manager,Education,Linkedin,270,6,7,50,1
LD-00169,11-50,Operationnel,Retail,Site Web,146,4,1,68,0
LD-00170,11-50,Manager,Retail,Site Web,186,2,9,88,0
LD-00171,1-10,Stagiaire,Education,Site Web,2,3,1,43,0
LD-00172,11-50,Operationnel,Industrie,Site Web,31,4,1,17,0
LD-00173,1-10,Directeur,Education,Site Web,754,1,1,83,0
LD-00174,11-50,Operationnel,Retail,Linkedin,14,0,3,55,0
LD-00175,1-10,Directeur,Industrie,Emailing,204,7,4,34,0
LD-00176,11-50,Operationnel,Tech,Emailing,34,2,3,70,0
LD-00177,11-50,Manager,Education,Cold Call,227,6,4,60,0
LD-00178,200+,Manager,Education,Emailing,220,2,3,51,0
LD-00179,1-10,Manager,Industrie,Emailing,48,3,6,77,0
LD-00180,11-50,Operationnel,Tech,Linkedin,56,6,9,73,0
LD-00181,1-10,Operationnel,Tech,Site Web,191,4,0,35,0
LD-00182,200+,Stagiaire,Industrie,Site Web,88,2,0,34,0
LD-00183,51-200,Operationnel,Sante,Linkedin,38,7,1,16,0
LD-00184,1-10,Manager,Education,Emailing,236,5,0,82,0
LD-00185,11-50,Directeur,Education,Linkedin,30,5,9,18,1
LD-00186,51-200,Directeur,Retail,Cold Call,348,0,9,38,1
LD-00187,11-50,Manager,Industrie,Site Web,130,2,2,43,0
LD-00188,11-50,Manager,Retail,Webinar,20,1,5,32,0
LD-00189,1-10,Manager,Retail,Cold Call,213,5,9,7,1
LD-00190,1-10,Operationnel,Tech,Cold Call,131,3,5,87,0
LD-00191,51-200,Directeur,Education,Linkedin,63,8,0,87,0
LD-00192,200+,Manager,Retail,Emailing,98,2,5,46,0
LD-00193,11-50,Manager,Tech,Site Web,63,3,4,61,0
LD-00194,11-50,Operationnel,Industrie,Webinar,54,2,6,18,0
LD-00195,11-50,Operationnel,Retail,Cold Call,32,3,5,71,0
LD-00196,51-200,Operationnel,Education,Webinar,81,5,6,40,0
LD-00197,51-200,Directeur,Retail,Emailing,52,8,1,88,0
LD-00198,51-200,Manager,Industrie,Emailing,207,3,0,78,0
LD-00199,51-200,Operationnel,Retail,Webinar,207,3,6,50,0
LD-00200,11-50,VP/C-Level,Education,Site Web,125,5,8,5,1
LD-00201,1-10,Operationnel,Tech,Emailing,270,2,1,54,0
LD-00202,1-10,Operationnel,Education,Webinar,331,4,6,86,0
LD-00203,51-200,Stagiaire,Tech,Cold Call,156,3,2,58,0
LD-00204,11-50,Manager,Sante,Webinar,173,5,5,22,0
LD-00205,1-10,Directeur,Education,Webinar,59,4,2,74,0
LD-00206,1-10,Operationnel,Education,Linkedin,405,4,9,79,0
LD-00207,11-50,Directeur,Industrie,Emailing,4,2,4,38,0
LD-00208,1-10,Operationnel,Retail,Site Web,77,4,1,49,0
LD-00209,1-10,Directeur,Tech,Site Web,230,5,7,1,1
LD-00210,11-50,Manager,Tech,Linkedin,15,3,7,78,0
LD-00211,11-50,Directeur,Industrie,Site Web,36,0,6,36,0
LD-00212,11-50,Stagiaire,Industrie,Webinar,160,3,5,28,0
LD-00213,1-10,VP/C-Level,Retail,Linkedin,147,6,0,35,0
LD-00214,51-200,Manager,Retail,Cold Call,241,5,7,60,0
LD-00215,1-10,Operationnel,Education,Emailing,301,3,0,62,0
LD-00216,11-50,Directeur,Sante,Emailing,24,1,7,87,0
LD-00217,51-200,Operationnel,Retail,Emailing,3,6,1,46,0
LD-00218,11-50,Directeur,Industrie,Webinar,210,3,7,83,1
LD-00219,51-200,Operationnel,Retail,Cold Call,64,2,9,82,0
LD-00220,11-50,Manager,Tech,Linkedin,177,3,3,79,0
LD-00221,11-50,Manager,Sante,Linkedin,29,6,6,61,0
LD-00222,1-10,Stagiaire,Education,Emailing,113,1,4,65,0
LD-00223,11-50,Operationnel,Tech,Cold Call,126,3,7,89,0
LD-00224,1-10,Stagiaire,Tech,Cold Call,158,1,5,26,0
LD-00225,1-10,Operationnel,Sante,Cold Call,129,4,4,35,0
LD-00226,200+,Operationnel,Education,Site Web,123,1,0,57,0
LD-00227,11-50,Manager,Industrie,Site Web,72,2,2,79,0
LD-00228,51-200,Operationnel,Education,Emailing,13,5,9,63,0
LD-00229,11-50,Operationnel,Retail,Cold Call,16,2,8,4,0
LD-00230,51-200,Manager,Tech,Cold Call,102,3,8,79,0
LD-00231,11-50,Stagiaire,Retail,Linkedin,79,4,4,42,0
LD-00232,11-50,Directeur,Industrie,Linkedin,130,3,2,45,0
LD-00233,11-50,Directeur,Retail,Emailing,65,6,5,39,0
LD-00234,1-10,Manager,Education,Cold Call,209,3,4,65,0
LD-00235,51-200,Manager,Retail,Emailing,359,3,0,22,1
LD-00236,1-10,Directeur,Industrie,Linkedin,63,3,1,11,0
LD-00237,1-10,Operationnel,Industrie,Linkedin,38,2,4,37,0
LD-00238,11-50,Stagiaire,Industrie,Site Web,22,3,8,51,0
LD-00239,1-10,Operationnel,Education,Emailing,172,4,3,58,0
LD-00240,200+,Manager,Industrie,Emailing,105,3,8,77,0
LD-00241,200+,Stagiaire,Tech,Cold Call,37,3,2,7,0
LD-00242,200+,Manager,Industrie,Cold Call,190,3,0,8,0
LD-00243,11-50,VP/C-Level,Retail,Site Web,28,2,5,51,0
LD-00244,1-10,Directeur,Retail,Webinar,145,5,9,23,1
LD-00245,200+,Manager,Retail,Webinar,134,4,6,9,1
LD-00246,11-50,Stagiaire,Education,Webinar,238,0,3,46,0
LD-00247,200+,Directeur,Retail,Emailing,10,2,9,38,0
LD-00248,200+,Manager,Education,Emailing,393,5,4,13,0
LD-00249,51-200,Operationnel,Education,Linkedin,218,3,3,7,0
LD-00250,1-10,Stagiaire,Industrie,Emailing,43,1,2,11,0
LD-00251,11-50,Directeur,Tech,Emailing,36,1,0,74,0
LD-00252,51-200,Manager,Industrie,Emailing,101,2,5,50,0
LD-00253,11-50,Directeur,Industrie,Site Web,306,2,9,67,0
LD-00254,1-10,Directeur,Education,Emailing,333,5,4,41,1
LD-00255,11-50,Manager,Education,Cold Call,132,3,0,29,0
LD-00256,200+,Manager,Retail,Cold Call,354,7,4,37,0
LD-00257,11-50,Operationnel,Retail,Linkedin,0,5,5,56,0
LD-00258,11-50,Operationnel,Industrie,Site Web,6,3,9,80,0
LD-00259,1-10,Operationnel,Sante,Cold Call,437,6,4,16,0
LD-00260,11-50,Manager,Sante,Site Web,268,4,0,44,0
LD-00261,200+,Manager,Retail,Site Web,107,2,4,50,0
LD-00262,1-10,Directeur,Sante,Linkedin,252,1,9,71,1
LD-00263,11-50,Operationnel,Retail,Site Web,560,3,0,79,0
LD-00264,51-200,Manager,Education,Emailing,266,2,2,6,0
LD-00265,51-200,Manager,Industrie,Site Web,332,4,1,18,1
LD-00266,11-50,Manager,Tech,Linkedin,257,6,0,19,0
LD-00267,51-200,Manager,Industrie,Linkedin,33,2,3,51,0
LD-00268,11-50,Operationnel,Retail,Linkedin,322,3,1,66,0
LD-00269,1-10,Manager,Retail,Cold Call,39,2,4,3,0
LD-00270,51-200,Operationnel,Industrie,Emailing,401,6,9,89,0
LD-00271,51-200,Operationnel,Retail,Cold Call,110,1,0,54,0
LD-00272,51-200,Operationnel,Sante,Webinar,203,8,9,49,0
LD-00273,200+,Manager,Sante,Emailing,123,3,0,28,0
LD-00274,11-50,VP/C-Level,Retail,Site Web,17,6,9,38,0
LD-00275,11-50,Manager,Retail,Linkedin,61,1,3,28,0
LD-00276,51-200,Manager,Sante,Webinar,741,4,6,32,1
LD-00277,11-50,Manager,Retail,Emailing,582,1,1,41,0
LD-00278,51-200,Manager,Retail,Cold Call,69,0,1,36,0
LD-00279,51-200,Stagiaire,Industrie,Linkedin,1007,0,0,36,1
LD-00280,51-200,Operationnel,Tech,Cold Call,336,4,4,87,0
LD-00281,11-50,Operationnel,Sante,Emailing,169,4,5,66,0
LD-00282,11-50,Operationnel,Industrie,Emailing,7,4,5,10,0
LD-00283,1-10,Stagiaire,Tech,Webinar,417,2,1,70,0
LD-00284,11-50,Operationnel,Retail,Site Web,146,3,6,72,0
LD-00285,1-10,Operationnel,Retail,Cold Call,365,3,5,79,0
LD-00286,11-50,VP/C-Level,Industrie,Webinar,323,4,7,63,0
LD-00287,11-50,Operationnel,Retail,Linkedin,322,7,5,22,1
LD-00288,1-10,Operationnel,Education,Site Web,215,0,8,20,1
LD-00289,11-50,Operationnel,Industrie,Webinar,62,3,9,33,0
LD-00290,1-10,Manager,Tech,Cold Call,73,4,1,15,0
LD-00291,1-10,Operationnel,Industrie,Emailing,66,4,6,7,0
LD-00292,51-200,Operationnel,Sante,Linkedin,3,3,4,88,0
LD-00293,11-50,Manager,Industrie,Cold Call,157,3,0,50,0
LD-00294,1-10,Stagiaire,Retail,Site Web,216,3,2,10,0
LD-00295,11-50,Stagiaire,Retail,Site Web,346,2,3,79,0
LD-00296,51-200,Operationnel,Education,Emailing,27,2,1,37,0
LD-00297,1-10,Stagiaire,Education,Emailing,141,4,6,59,0
LD-00298,11-50,Operationnel,Education,Linkedin,1,2,0,88,0
LD-00299,1-10,Operationnel,Tech,Linkedin,17,4,2,75,0
LD-00300,1-10,Directeur,Education,Emailing,10,4,8,63,0
LD-00301,11-50,Manager,Tech,Emailing,232,4,1,21,0
LD-00302,11-50,Manager,Education,Site Web,15,4,4,79,0
LD-00303,11-50,Operationnel,Tech,Emailing,226,4,3,79,0
LD-00304,51-200,Directeur,Industrie,Webinar,51,2,2,37,0
LD-00305,200+,Operationnel,Industrie,Cold Call,378,2,4,45,0
LD-00306,11-50,Stagiaire,Retail,Emailing,301,4,5,14,0
LD-00307,11-50,Manager,Tech,Linkedin,569,4,0,43,1
LD-00308,51-200,Operationnel,Sante,Webinar,387,7,1,85,0
LD-00309,1-10,Operationnel,Retail,Linkedin,487,3,0,84,0
LD-00310,11-50,Manager,Industrie,Webinar,352,2,2,33,1
LD-00311,1-10,Directeur,Tech,Emailing,212,2,7,3,1
LD-00312,1-10,Operationnel,Education,Cold Call,33,1,7,87,0
LD-00313,200+,Manager,Sante,Linkedin,57,0,3,44,0
LD-00314,51-200,VP/C-Level,Industrie,Webinar,43,3,5,87,0
LD-00315,11-50,Operationnel,Retail,Site Web,166,2,8,35,0
LD-00316,11-50,Operationnel,Tech,Emailing,126,2,6,25,1
LD-00317,1-10,Operationnel,Sante,Cold Call,363,1,1,86,0
LD-00318,1-10,Operationnel,Tech,Emailing,549,0,1,8,1
LD-00319,1-10,Operationnel,Education,Site Web,93,4,2,62,0
LD-00320,11-50,Directeur,Retail,Cold Call,127,1,7,18,1
LD-00321,51-200,Manager,Tech,Site Web,640,4,9,28,1
LD-00322,11-50,Manager,Industrie,Emailing,58,6,8,75,0
LD-00323,1-10,Operationnel,Retail,Webinar,282,1,2,12,0
LD-00324,200+,Directeur,Industrie,Emailing,45,3,8,64,0
LD-00325,51-200,VP/C-Level,Tech,Emailing,205,2,9,2,1
LD-00326,11-50,Directeur,Retail,Emailing,52,5,7,59,0
LD-00327,11-50,Stagiaire,Industrie,Linkedin,387,3,4,37,0
LD-00328,11-50,Manager,Education,Site Web,148,1,9,4,0
LD-00329,1-10,Stagiaire,Education,Site Web,37,1,2,41,0
LD-00330,11-50,Operationnel,Tech,Site Web,45,3,6,45,0
LD-00331,51-200,Stagiaire,Retail,Linkedin,122,2,8,34,0
LD-00332,1-10,Manager,Sante,Webinar,586,4,5,87,1
LD-00333,1-10,Manager,Retail,Emailing,264,5,2,13,0
LD-00334,1-10,Operationnel,Education,Webinar,120,3,4,7,0
LD-00335,1-10,Operationnel,Industrie,Linkedin,74,2,6,32,0
LD-00336,51-200,Operationnel,Sante,Site Web,143,4,7,23,0
LD-00337,51-200,Operationnel,Tech,Emailing,248,1,3,49,0
LD-00338,11-50,Operationnel,Sante,Cold Call,275,4,1,72,0
LD-00339,1-10,Operationnel,Tech,Cold Call,70,2,9,47,0
LD-00340,11-50,Manager,Sante,Webinar,229,3,1,37,0
LD-00341,11-50,Stagiaire,Tech,Site Web,193,3,2,48,0
LD-00342,1-10,Stagiaire,Tech,Cold Call,575,1,7,29,0
LD-00343,11-50,Operationnel,Sante,Webinar,481,2,0,37,0
LD-00344,11-50,Directeur,Sante,Linkedin,280,2,6,23,1
LD-00345,11-50,Manager,Tech,Webinar,231,4,5,38,0
LD-00346,11-50,Manager,Education,Webinar,57,3,1,44,0
LD-00347,1-10,Operationnel,Sante,Webinar,336,2,8,5,1
LD-00348,11-50,Manager,Retail,Emailing,100,2,4,52,0
LD-00349,11-50,Stagiaire,Industrie,Webinar,57,3,1,40,0
LD-00350,11-50,Manager,Tech,Webinar,87,2,2,11,0
LD-00351,51-200,Directeur,Tech,Emailing,325,3,6,78,1
LD-00352,11-50,Manager,Industrie,Emailing,28,4,6,2,1
LD-00353,1-10,Directeur,Education,Linkedin,109,2,9,35,1
LD-00354,1-10,Manager,Industrie,Site Web,122,2,0,45,0
LD-00355,11-50,Operationnel,Sante,Cold Call,6,1,9,49,0
LD-00356,1-10,Directeur,Industrie,Cold Call,39,3,3,35,0
LD-00357,11-50,Stagiaire,Tech,Webinar,315,3,5,72,0
LD-00358,200+,Manager,Industrie,Linkedin,319,3,7,32,1
LD-00359,11-50,Operationnel,Retail,Webinar,62,4,2,68,0
LD-00360,11-50,Stagiaire,Sante,Cold Call,374,3,2,71,0
LD-00361,11-50,Operationnel,Industrie,Emailing,265,2,7,39,0
LD-00362,11-50,Operationnel,Tech,Site Web,97,3,7,48,0
LD-00363,11-50,Operationnel,Sante,Linkedin,248,4,7,37,0
LD-00364,200+,Manager,Tech,Emailing,585,6,0,60,0
LD-00365,11-50,Stagiaire,Education,Site Web,110,3,7,81,0
LD-00366,200+,Operationnel,Retail,Linkedin,49,3,7,74,0
LD-00367,200+,Manager,Education,Linkedin,511,3,1,4,1
LD-00368,1-10,Operationnel,Retail,Cold Call,166,3,8,23,0
LD-00369,1-10,Manager,Industrie,Emailing,20,5,6,14,0
LD-00370,1-10,Manager,Sante,Linkedin,153,4,7,5,1
LD-00371,1-10,Directeur,Industrie,Linkedin,124,1,1,66,0
LD-00372,1-10,Manager,Retail,Site Web,348,3,3,24,1
LD-00373,11-50,Operationnel,Retail,Cold Call,136,4,6,18,0
LD-00374,1-10,Manager,Retail,Webinar,53,2,5,27,1
LD-00375,11-50,Operationnel,Tech,Cold Call,202,2,6,24,0
LD-00376,51-200,Operationnel,Sante,Webinar,140,1,0,29,0
LD-00377,1-10,Manager,Industrie,Emailing,47,4,7,11,0
LD-00378,51-200,Operationnel,Industrie,Emailing,153,1,6,18,0
LD-00379,1-10,Manager,Education,Linkedin,310,3,3,4,1
LD-00380,1-10,Directeur,Retail,Emailing,5,2,0,33,0
LD-00381,11-50,Directeur,Retail,Linkedin,179,0,7,78,1
LD-00382,11-50,Directeur,Retail,Cold Call,77,1,9,42,0
LD-00383,51-200,Operationnel,Industrie,Emailing,62,1,6,32,0
LD-00384,51-200,Operationnel,Education,Cold Call,89,3,7,51,0
LD-00385,51-200,Manager,Tech,Cold Call,75,3,9,4,0
LD-00386,1-10,Operationnel,Sante,Emailing,321,4,0,20,0
LD-00387,1-10,Manager,Tech,Cold Call,57,3,4,85,0
LD-00388,51-200,Manager,Industrie,Emailing,237,3,8,67,1
LD-00389,51-200,Manager,Retail,Emailing,17,4,4,89,0
LD-00390,200+,Operationnel,Sante,Emailing,544,4,9,68,1
LD-00391,11-50,Operationnel,Industrie,Webinar,175,3,2,62,0
LD-00392,11-50,Operationnel,Industrie,Cold Call,220,1,8,58,0
LD-00393,51-200,Operationnel,Industrie,Site Web,63,2,8,47,0
LD-00394,11-50,Directeur,Sante,Emailing,95,0,3,75,0
LD-00395,200+,Operationnel,Sante,Cold Call,45,3,3,80,0
LD-00396,51-200,Operationnel,Education,Linkedin,485,3,7,59,1
